"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part","LCSC Part_1","LCSC"
"AE1","1","2450AT18A100E","","","","OpenRX-Shared:ANT-SMD_L3.2-W1.6","https://lcsc.com/product-detail/RF-Antenna_JOHANSON_2450AT18A100E_2450AT18A100E_C89334.html","C89334","","C89334"
"AE2","1","47948-0001","","","","OpenRX-Shared:ANT-SMD_47948-0001","https://lcsc.com/product-detail/RF-Antenna_MOLEX_47948-0001_47948-0001_C152351.html","C152351","",""
"C1,C3","2","15pF","","","","Capacitor_SMD:C_0201_0603Metric","","C85891","","C85891"
"C4,C10,C15,C23,C25,C28","6","1uF","","","","Capacitor_SMD:C_0201_0603Metric","","C76935","","C76935"
"C5,C6,C9,C12,C13,C14,C17","7","100nF","","","","Capacitor_SMD:C_0201_0603Metric","","C76939","","C76939"
"C8,C11,C16","3","10uF","","","","Capacitor_SMD:C_0402_1005Metric","","C15525","","C15525,C76991"
"C19","1","1nF","","","","Capacitor_SMD:C_0201_0603Metric","","C66942","","C66942"
"C20","1","470nF","","","","Capacitor_SMD:C_0201_0603Metric","","C85926","","C85926"
"C21,C22","2","1.2pF","","","","Capacitor_SMD:C_0201_0603Metric","","","","C85895"
"C24,C26,C27","3","10nF","","","","Capacitor_SMD:C_0201_0603Metric","","C2168164","","C2168164"
"D1","1","XL-1010RGBC-WS2812B","","","","OpenRX-Shared:LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B","","C5349953","",""
"FL1","1","2450FM07D0034T","","","","OpenRX-Shared:FILTER-SMD_4P-L1.0-W0.5-L","https://www.lcsc.com/datasheet/C2651081.pdf","C2651081","C2651081",""
"L1","1","24nH","","","","Inductor_SMD:L_0201_0603Metric","","C206441","","C206441"
"L2","1","2.5nH","","","","Inductor_SMD:L_0201_0603Metric","","","","C206435"
"L3","1","2.0nH","","","","Inductor_SMD:L_0201_0603Metric","","","","C86125"
"L4","1","15uH","","","","Inductor_SMD:L_0805_2012Metric","","","",""
"OSC1","1","OW7EL89CENUNFAYLC-52M","","","","OpenRX-Shared:OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z","","C22434896","","C22434896"
"R2,R3,R4,R5","4","10k","","","","Resistor_SMD:R_0201_0603Metric","","C106225","","C106225"
"TP1","1","RX","","","","OpenRX-Shared:SolderPad_1.2x2.0mm","","","",""
"TP2","1","TX","","","","OpenRX-Shared:SolderPad_1.2x2.0mm","","","",""
"TP3","1","5V","","","","OpenRX-Shared:SolderPad_1.2x2.0mm","","","",""
"TP4","1","GND","","","","OpenRX-Shared:SolderPad_1.2x2.0mm","","","",""
"TP5","1","BOOT","","","","OpenRX-Shared:SolderPad_1.2x2.0mm","","","",""
"U1","1","ESP32-C3","","","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf","","",""
"U2","1","TLV75533PDQNR","","","","OpenRX-Shared:X2SON-4_L1.0-W1.0-P0.65-TL-EP","","C2861882","","C2861882"
"U3","1","SX1281IMLTRT","","","","OpenRX-Shared:QFN-24_L4.0-W4.0-P0.50-TL-EP2.6","","C2151551","","C2151551"
"X1","1","CJ17-400001010B20","","","","OpenRX-Shared:CRYSTAL-SMD_4P-L1.6-W1.2-BL","","C2875272","","C2875272"
